episode,mode,mode_episode,score,reward,epsilon
451,train,451,4,2,0.973399
452,train,452,4,2,0.97334
453,train,453,15,13,0.973282
454,train,454,16,14,0.973224
455,train,455,0,-2,0.973165
456,train,456,5,3,0.973107
457,train,457,4,2,0.973049
458,train,458,4,2,0.97299
459,train,459,5,3,0.972932
460,train,460,7,5,0.972874
461,train,461,7,5,0.972816
462,train,462,0,-2,0.972757
463,train,463,2,0,0.972699
464,train,464,1,-1,0.972641
465,train,465,8,6,0.972582
466,train,466,7,5,0.972524
467,train,467,4,2,0.972466
468,train,468,0,-2,0.972408
469,train,469,20,18,0.972349
470,train,470,14,12,0.972291
471,train,471,26,24,0.972233
472,train,472,0,-2,0.972175
473,train,473,36,34,0.972116
474,train,474,6,4,0.972058
475,train,475,43,41,0.972
476,train,476,16,14,0.971942
477,train,477,4,2,0.971883
478,train,478,37,35,0.971825
479,train,479,14,12,0.971767
480,train,480,0,-2,0.971709
481,train,481,43,41,0.971651
482,train,482,37,35,0.971592
483,train,483,0,-2,0.971534
484,train,484,52,50,0.971476
485,train,485,26,24,0.971418
486,train,486,4,2,0.97136
487,train,487,10,8,0.971301
488,train,488,6,4,0.971243
489,train,489,15,13,0.971185
490,train,490,0,-2,0.971127
491,train,491,8,6,0.971069
492,train,492,28,26,0.97101
493,train,493,0,-2,0.970952
494,train,494,9,7,0.970894
495,train,495,20,18,0.970836
496,train,496,3,1,0.970778
497,train,497,57,55,0.97072
498,train,498,2,0,0.970661
499,train,499,18,16,0.970603
500,train,500,4,2,0.970545
501,train,501,13,11,0.970487
502,train,502,19,17,0.970429
503,train,503,1,-1,0.970371
504,train,504,50,48,0.970313
505,train,505,12,10,0.970254
506,train,506,1,-1,0.970196
507,train,507,58,56,0.970138
508,train,508,9,7,0.97008
509,train,509,0,-2,0.970022
510,train,510,0,-2,0.969964
511,train,511,4,2,0.969906
512,train,512,12,10,0.969848
513,train,513,0,-2,0.969789
514,train,514,4,2,0.969731
515,train,515,0,-2,0.969673
516,train,516,10,8,0.969615
517,train,517,39,37,0.969557
518,train,518,18,16,0.969499
519,train,519,20,18,0.969441
520,train,520,5,3,0.969383
521,train,521,2,0,0.969325
522,train,522,1,-1,0.969267
523,train,523,5,3,0.969209
524,train,524,2,0,0.969151
525,train,525,36,34,0.969092
526,train,526,0,-2,0.969034
527,train,527,6,4,0.968976
528,train,528,4,2,0.968918
529,train,529,9,7,0.96886
530,train,530,7,5,0.968802
531,train,531,52,50,0.968744
532,train,532,17,15,0.968686
533,train,533,19,17,0.968628
534,train,534,13,11,0.96857
535,train,535,0,-2,0.968512
536,train,536,15,13,0.968454
537,train,537,24,22,0.968396
538,train,538,0,-2,0.968338
539,train,539,0,-2,0.96828
540,train,540,0,-2,0.968222
541,train,541,1,-1,0.968164
542,train,542,0,-2,0.968106
543,train,543,5,3,0.968048
544,train,544,8,6,0.96799
545,train,545,25,23,0.967932
546,train,546,8,6,0.967874
547,train,547,0,-2,0.967816
548,train,548,8,6,0.967758
549,train,549,38,36,0.9677
